,elmo,use,stf,glove,fasttext
elmo,1.0,0.7569444434803025,0.734503480211728,0.7804846849952188,0.5420252418923966
use,0.7569444434803025,1.0,0.6752201924255408,0.6073706009438259,0.38669297537152064
stf,0.734503480211728,0.6752201924255408,1.0,0.6124892568558262,0.3505955080309899
glove,0.7804846849952188,0.6073706009438259,0.6124892568558262,1.0,0.76644181906019
fasttext,0.5420252418923966,0.38669297537152064,0.3505955080309899,0.76644181906019,1.0
