,elmo,use,stf,glove,fasttext
elmo,1.0,0.6506277459048841,0.6085643927369495,0.7245898641902394,0.5316612205605722
use,0.6506277459048841,1.0,0.6050576060843893,0.5547920024098487,0.3868783986058221
stf,0.6085643927369495,0.6050576060843893,1.0,0.49541821089787813,0.3019128606945964
glove,0.7245898641902394,0.5547920024098487,0.49541821089787813,1.0,0.7416189377859472
fasttext,0.5316612205605722,0.3868783986058221,0.3019128606945964,0.7416189377859472,1.0
