,elmo,use,stf,glove,fasttext
elmo,1.0,0.6055989019433232,0.6808544550854203,0.7569824043524133,0.44524323022121437
use,0.6055989019433232,1.0,0.5830006324031244,0.5330225416246182,0.35780769075760704
stf,0.6808544550854203,0.5830006324031244,1.0,0.5211582221527707,0.2722298256060201
glove,0.7569824043524133,0.5330225416246182,0.5211582221527707,1.0,0.74697007985887
fasttext,0.44524323022121437,0.35780769075760704,0.2722298256060201,0.74697007985887,1.0
