,elmo,use,stf,glove,fasttext
elmo,1.0,0.6424455046405324,0.7075354003706418,0.8302039524268384,0.5731526201582782
use,0.6424455046405324,1.0,0.6289253899726985,0.5740618488324232,0.3240409949850572
stf,0.7075354003706418,0.6289253899726985,1.0,0.5919328532453761,0.3727750388436381
glove,0.8302039524268384,0.5740618488324232,0.5919328532453761,1.0,0.753421370785527
fasttext,0.5731526201582782,0.3240409949850572,0.3727750388436381,0.753421370785527,1.0
