,elmo,use,stf,glove,fasttext
elmo,1.0,0.6760395139404362,0.5973301783930098,0.7635357185344449,0.4771377592440292
use,0.6760395139404362,1.0,0.5923880205991504,0.5399231080841776,0.23391456793584364
stf,0.5973301783930098,0.5923880205991504,1.0,0.5086733771122194,0.2775656580987585
glove,0.7635357185344449,0.5399231080841776,0.5086733771122194,1.0,0.6844336245933381
fasttext,0.4771377592440292,0.23391456793584364,0.2775656580987585,0.6844336245933381,1.0
